user_id,activity_id,preference
0,0,-1.0
0,1,-1.0
0,2,-1.0
0,3,-1.0
0,4,-1.0
0,5,0.46712929748725446
0,6,-1.0
0,7,-1.0
0,8,-1.0
0,9,-1.0
0,10,-1.0
0,11,-1.0
0,12,-1.0
0,13,-1.0
0,14,-1.0
0,15,-1.0
0,16,-1.0
0,17,0.34748637737082705
0,18,-1.0
0,19,-1.0
0,20,-1.0
0,21,-1.0
0,22,-1.0
0,23,-1.0
0,24,-1.0
0,25,-1.0
0,26,0.36133339044567697
0,27,-1.0
0,28,-1.0
0,29,-1.0
0,30,0.7168039045231058
0,31,-1.0
0,32,-1.0
0,33,-1.0
0,34,-1.0
0,35,-1.0
0,36,-1.0
0,37,-1.0
0,38,0.7150749481151573
0,39,-1.0
0,40,-1.0
0,41,-1.0
0,42,-1.0
0,43,0.2766303579521002
0,44,-1.0
0,45,-1.0
0,46,-1.0
0,47,-1.0
0,48,0.34128455546773534
0,49,-1.0
0,50,-1.0
0,51,-1.0
0,52,-1.0
0,53,-1.0
0,54,-1.0
0,55,-1.0
0,56,-1.0
0,57,-1.0
0,58,-1.0
0,59,-1.0
0,60,-1.0
0,61,-1.0
0,62,-1.0
0,63,-1.0
0,64,-1.0
0,65,-1.0
0,66,-1.0
0,67,-1.0
0,68,-1.0
0,69,-1.0
0,70,-1.0
0,71,0.08996806284725128
0,72,-1.0
0,73,-1.0
0,74,-1.0
0,75,-1.0
0,76,0.9374787937212454
0,77,-1.0
0,78,-1.0
0,79,-1.0
0,80,-1.0
0,81,-1.0
0,82,-1.0
0,83,-1.0
0,84,0.9707776580193119
0,85,-1.0
0,86,-1.0
0,87,-1.0
0,88,-1.0
0,89,-1.0
0,90,-1.0
0,91,-1.0
0,92,-1.0
0,93,0.4359642065447582
0,94,-1.0
0,95,-1.0
0,96,-1.0
0,97,-1.0
0,98,-1.0
0,99,0.7590334358119355
0,100,-1.0
0,101,-1.0
0,102,-1.0
0,103,-1.0
0,104,-1.0
0,105,-1.0
0,106,-1.0
0,107,0.03223712194300288
0,108,-1.0
